symbol,timeframe,trades,wins,losses,winrate,total_pnl,avg_pnl
BTC/USDT:USDT,5m,51,18,33,35.294117647058826,-3.556042967595709,-0.06972633269795508
BTC/USDT:USDT,15m,50,21,29,42.0,3.002941953787528,0.06005883907575056
BTC/USDT:USDT,1h,51,29,22,56.86274509803921,4.359600235984006,0.08548235756831385
BTC/USDT:USDT,4h,40,21,19,52.5,9.207075956413185,0.2301768989103296
ETH/USDT:USDT,5m,53,20,33,37.735849056603776,-5.19677119309296,-0.09805228666213132
ETH/USDT:USDT,15m,39,19,20,48.717948717948715,-0.0006643529484223754,-1.703469098518911e-05
ETH/USDT:USDT,1h,49,20,29,40.816326530612244,-3.5920176672637876,-0.07330648300538342
ETH/USDT:USDT,4h,25,9,16,36.0,-7.863906769548089,-0.31455627078192355
SOL/USDT:USDT,5m,50,20,30,40.0,0.1771777739469398,0.0035435554789387956
SOL/USDT:USDT,15m,45,20,25,44.44444444444444,1.2370579751450639,0.027490177225445864
SOL/USDT:USDT,1h,64,34,30,53.125,33.268608566308835,0.5198220088485755
SOL/USDT:USDT,4h,22,7,15,31.818181818181817,-17.424483231136513,-0.7920219650516597
DOGE/USDT:USDT,5m,48,25,23,52.083333333333336,1.9385049214767138,0.04038551919743154
DOGE/USDT:USDT,15m,36,13,23,36.11111111111111,-10.234731627043912,-0.28429810075121975
DOGE/USDT:USDT,1h,55,29,26,52.72727272727272,15.8158112833183,0.2875602051512418
DOGE/USDT:USDT,4h,26,12,14,46.15384615384615,-26.104688812321466,-1.004026492781595
